Date,Price
16-04-2025,"1,811.80"
15-04-2025,"1,822.60"
11-04-2025,"1,718.55"
09-04-2025,"1,786.50"
08-04-2025,"1,776.85"
07-04-2025,"1,744.40"
04-04-2025,"1,829.55"
03-04-2025,"1,831.50"
02-04-2025,"1,829.95"
01-04-2025,"1,791.90"
28-03-2025,"1,792.85"
27-03-2025,"1,794.25"
26-03-2025,"1,772.45"
25-03-2025,"1,779.50"
24-03-2025,"1,785.05"
21-03-2025,"1,723.20"
20-03-2025,"1,724.75"
19-03-2025,"1,756.50"
18-03-2025,"1,752.10"
17-03-2025,"1,725.35"
13-03-2025,"1,678.75"
12-03-2025,"1,665.70"
11-03-2025,"1,700.45"
10-03-2025,"1,699.60"
07-03-2025,"1,686.95"
06-03-2025,"1,702.30"
05-03-2025,"1,676.90"
04-03-2025,"1,639.70"
03-03-2025,"1,663.50"
28-02-2025,"1,690.95"
27-02-2025,"1,701.20"
25-02-2025,"1,687.75"
24-02-2025,"1,710.85"
21-02-2025,"1,733.10"
20-02-2025,"1,727.30"
19-02-2025,"1,728.95"
18-02-2025,"1,738.40"
17-02-2025,"1,725.05"
14-02-2025,"1,737.95"
13-02-2025,"1,776.85"
12-02-2025,"1,764.80"
11-02-2025,"1,795.10"
10-02-2025,"1,828.45"
07-02-2025,"1,826.95"
06-02-2025,"1,827.90"
05-02-2025,"1,854.65"
04-02-2025,"1,874.40"
03-02-2025,"1,885.35"
01-02-2025,"1,879.95"
31-01-2025,"1,858.50"
30-01-2025,"1,845.50"
29-01-2025,"1,841.50"
28-01-2025,"1,774.70"
27-01-2025,"1,778.70"
24-01-2025,"1,815.65"
23-01-2025,"1,834.10"
22-01-2025,"1,849.90"
21-01-2025,"1,902.50"
20-01-2025,"1,922.70"
17-01-2025,"1,948.75"
16-01-2025,"1,907.90"
15-01-2025,"1,894.55"
14-01-2025,"1,831.20"
13-01-2025,"1,836.95"
10-01-2025,"1,877.60"
09-01-2025,"1,888.25"
08-01-2025,"1,859.20"
07-01-2025,"1,883.70"
06-01-2025,"1,812.75"
03-01-2025,"1,838.20"
02-01-2025,"1,832.90"
01-01-2025,"1,809.45"
31-12-2024,"1,787.75"
30-12-2024,"1,806.80"
27-12-2024,"1,832.45"
26-12-2024,"1,861.15"
24-12-2024,"1,868.95"
23-12-2024,"1,862.05"
20-12-2024,"1,902.15"
19-12-2024,"1,898.00"
18-12-2024,"1,874.70"
17-12-2024,"1,917.30"
16-12-2024,"1,963.80"
13-12-2024,"1,983.35"
12-12-2024,"1,961.35"
11-12-2024,"1,948.65"
10-12-2024,"1,945.80"
09-12-2024,"1,962.20"
06-12-2024,"1,949.90"
05-12-2024,"1,932.70"
04-12-2024,"1,950.85"
03-12-2024,"1,896.35"
02-12-2024,"1,834.10"
29-11-2024,"1,861.85"
28-11-2024,"1,871.10"
27-11-2024,"1,863.75"
26-11-2024,"1,854.45"
25-11-2024,"1,836.90"
22-11-2024,"1,837.50"
21-11-2024,"1,804.70"
19-11-2024,"1,840.90"
18-11-2024,"1,839.45"
14-11-2024,"1,863.40"
13-11-2024,"1,868.20"
12-11-2024,"1,892.25"
11-11-2024,"1,921.10"
08-11-2024,"1,910.15"
07-11-2024,"1,916.50"
06-11-2024,"1,933.70"
05-11-2024,"1,916.05"
04-11-2024,"1,870.85"
01-11-2024,"1,916.30"
31-10-2024,"1,917.35"
30-10-2024,"1,927.90"
29-10-2024,"1,913.30"
28-10-2024,"1,896.00"
25-10-2024,"1,929.15"
24-10-2024,"1,955.75"
23-10-2024,"1,958.95"
22-10-2024,"1,986.25"
