Date,Price
16-04-2025,320.35
15-04-2025,319.65
11-04-2025,305
09-04-2025,301.8
08-04-2025,308.1
07-04-2025,305.7
04-04-2025,328.55
03-04-2025,336.65
02-04-2025,339.3
01-04-2025,333.1
28-03-2025,332.7
27-03-2025,322.2
26-03-2025,330.65
25-03-2025,336.4
24-03-2025,352.8
21-03-2025,344.2
20-03-2025,336.05
19-03-2025,321.6
18-03-2025,310.55
17-03-2025,292.75
13-03-2025,301
12-03-2025,309.35
11-03-2025,312.9
10-03-2025,325.2
07-03-2025,325.1
06-03-2025,292.3
05-03-2025,284.15
04-03-2025,265.3
03-03-2025,265.6
28-02-2025,275.25
27-02-2025,268.05
25-02-2025,279.9
24-02-2025,281
21-02-2025,284.15
20-02-2025,283.05
19-02-2025,278.2
18-02-2025,280.15
17-02-2025,286.65
14-02-2025,285.7
13-02-2025,294.4
12-02-2025,304.7
11-02-2025,306.2
10-02-2025,327.7
07-02-2025,336.25
06-02-2025,342.9
05-02-2025,349.95
04-02-2025,346.1
03-02-2025,345
01-02-2025,353.2
31-01-2025,334.6
30-01-2025,334.9
29-01-2025,336.6
28-01-2025,330.8
27-01-2025,329.85
24-01-2025,337.25
23-01-2025,348
22-01-2025,354.7
21-01-2025,364.25
20-01-2025,371.3
17-01-2025,373.55
16-01-2025,368.6
15-01-2025,358.35
14-01-2025,360
13-01-2025,359.1
10-01-2025,383.7
09-01-2025,397.15
08-01-2025,400.25
07-01-2025,405.5
06-01-2025,407.65
03-01-2025,420.85
02-01-2025,416.1
01-01-2025,416
31-12-2024,412
30-12-2024,413.8
27-12-2024,419.15
26-12-2024,421.7
24-12-2024,423.95
23-12-2024,422.55
20-12-2024,422.3
19-12-2024,435.3
18-12-2024,436.65
17-12-2024,447.05
16-12-2024,445.9
13-12-2024,444.85
12-12-2024,447.15
11-12-2024,453.65
10-12-2024,439.35
09-12-2024,447.6
06-12-2024,441.2
05-12-2024,439.9
04-12-2024,442.2
03-12-2024,441.4
02-12-2024,430.2
29-11-2024,433.35
28-11-2024,433.7
27-11-2024,428.35
26-11-2024,421.55
25-11-2024,415.35
22-11-2024,415.65
21-11-2024,411.2
19-11-2024,425.5
18-11-2024,437.2
14-11-2024,444.2
13-11-2024,436.65
12-11-2024,468.95
11-11-2024,476.05
08-11-2024,479.75
07-11-2024,480.05
06-11-2024,480.45
05-11-2024,476.05
04-11-2024,476.35
01-11-2024,491.55
31-10-2024,478.9
30-10-2024,480.05
29-10-2024,467.1
28-10-2024,465.75
25-10-2024,471.35
24-10-2024,487.15
23-10-2024,488.6
22-10-2024,480.7
